lid,cnt_selected,P,lclass
SVM3,18,0.6,Support vector regression
SVM2,16,0.533333333333333,Support vector regression
ScreenGLM,9,0.3,GLM
RF05,8,0.266666666666667,Random forest
PMARS1,7,0.233333333333333,PolyMARS
RF07,7,0.233333333333333,Random forest
PMARS2,6,0.2,PolyMARS
RF01,6,0.2,Random forest
RF06,6,0.2,Random forest
SVM4,6,0.2,Support vector regression
PMARS4,5,0.166666666666667,PolyMARS
RF04,5,0.166666666666667,Random forest
RF02,4,0.133333333333333,Random forest
RF10,4,0.133333333333333,Random forest
RF14,4,0.133333333333333,Random forest
LASSO,3,0.1,Penalized regression
PMARS3,3,0.1,PolyMARS
PMARS5,3,0.1,PolyMARS
RF03,3,0.1,Random forest
RF08,3,0.1,Random forest
RF23,3,0.1,Random forest
EN1,2,0.0666666666666667,Penalized regression
EN2,2,0.0666666666666667,Penalized regression
RF09,2,0.0666666666666667,Random forest
RF13,2,0.0666666666666667,Random forest
RF16,2,0.0666666666666667,Random forest
RF17,2,0.0666666666666667,Random forest
RF19,2,0.0666666666666667,Random forest
RF22,2,0.0666666666666667,Random forest
RF25,2,0.0666666666666667,Random forest
RF27,2,0.0666666666666667,Random forest
SVM1,2,0.0666666666666667,Support vector regression
EN3,1,0.0333333333333333,Penalized regression
RF11,1,0.0333333333333333,Random forest
RF12,1,0.0333333333333333,Random forest
RF15,1,0.0333333333333333,Random forest
RF18,1,0.0333333333333333,Random forest
RF20,1,0.0333333333333333,Random forest
RF21,1,0.0333333333333333,Random forest
RF24,1,0.0333333333333333,Random forest
RF26,1,0.0333333333333333,Random forest
Ridge,1,0.0333333333333333,Penalized regression
