lid,cnt_selected,P,lclass
SVM2,21,0.7,Support vector regression
LOESS1,15,0.5,LOESS
LOESS2,15,0.5,LOESS
LOESS3,15,0.5,LOESS
LOESS4,15,0.5,LOESS
SVM3,15,0.5,Support vector regression
SVM4,14,0.466666666666667,Support vector regression
RF01,10,0.333333333333333,Random forest
PMARS5,9,0.3,PolyMARS
RF03,9,0.3,Random forest
RF05,9,0.3,Random forest
RF06,9,0.3,Random forest
NNet05,8,0.266666666666667,Neural network
NNet09,8,0.266666666666667,Neural network
SVM1,8,0.266666666666667,Support vector regression
NNet06,7,0.233333333333333,Neural network
NNet25,7,0.233333333333333,Neural network
PMARS3,7,0.233333333333333,PolyMARS
PMARS4,7,0.233333333333333,PolyMARS
RF07,7,0.233333333333333,Random forest
RF08,7,0.233333333333333,Random forest
Ridge,7,0.233333333333333,Penalized regression
NNet21,6,0.2,Neural network
PMARS1,6,0.2,PolyMARS
RF04,6,0.2,Random forest
NNet10,5,0.166666666666667,Neural network
NNet11,5,0.166666666666667,Neural network
NNet13,5,0.166666666666667,Neural network
NNet17,5,0.166666666666667,Neural network
NNet20,5,0.166666666666667,Neural network
NNet22,5,0.166666666666667,Neural network
NNet26,5,0.166666666666667,Neural network
NNet01,4,0.133333333333333,Neural network
NNet02,4,0.133333333333333,Neural network
NNet03,4,0.133333333333333,Neural network
NNet04,4,0.133333333333333,Neural network
NNet12,4,0.133333333333333,Neural network
NNet15,4,0.133333333333333,Neural network
NNet16,4,0.133333333333333,Neural network
NNet19,4,0.133333333333333,Neural network
NNet23,4,0.133333333333333,Neural network
NNet24,4,0.133333333333333,Neural network
NNet29,4,0.133333333333333,Neural network
PMARS2,4,0.133333333333333,PolyMARS
RF02,4,0.133333333333333,Random forest
RF09,4,0.133333333333333,Random forest
RF10,4,0.133333333333333,Random forest
RF13,4,0.133333333333333,Random forest
NNet07,3,0.1,Neural network
NNet14,3,0.1,Neural network
NNet18,3,0.1,Neural network
NNet27,3,0.1,Neural network
NNet30,3,0.1,Neural network
RF12,3,0.1,Random forest
RF22,3,0.1,Random forest
RF26,3,0.1,Random forest
EN1,2,0.0666666666666667,Penalized regression
EN2,2,0.0666666666666667,Penalized regression
LASSO,2,0.0666666666666667,Penalized regression
NNet08,2,0.0666666666666667,Neural network
NNet28,2,0.0666666666666667,Neural network
RF11,2,0.0666666666666667,Random forest
RF14,2,0.0666666666666667,Random forest
RF15,2,0.0666666666666667,Random forest
RF16,2,0.0666666666666667,Random forest
RF19,2,0.0666666666666667,Random forest
RF20,2,0.0666666666666667,Random forest
RF23,2,0.0666666666666667,Random forest
EN3,1,0.0333333333333333,Penalized regression
RF17,1,0.0333333333333333,Random forest
RF18,1,0.0333333333333333,Random forest
RF21,1,0.0333333333333333,Random forest
RF24,1,0.0333333333333333,Random forest
RF25,1,0.0333333333333333,Random forest
RF27,1,0.0333333333333333,Random forest
ScreenGLM,1,0.0333333333333333,GLM
